Category,Item,Unit,PricePerG,PurchasePrice,PurchaseWeight_g
곡물·밀가루,중2등급 밀가루,kg,0.75,15000,20000
곡물·밀가루,고급 밀가루,kg,1.25,25000,20000
곡물·밀가루,국내산쌀,kg,3.1,62000,20000
채소,양파,kg,0.9333,14000,15000
채소,감자,kg,1.75,35000,20000
채소,주름감자(프렌치프라이),kg,4.15,8300,2000
향신료·양념,통생강,kg,10.0,10000,1000
향신료·양념,통마늘,kg,9.0,9000,1000
향신료·양념,고운 고추가루,kg,14.0,14000,1000
향신료·양념,베트남(고추가루),kg,18.0,18000,1000
향신료·양념,베트남(건고추),kg,17.0,17000,1000
향신료·양념,통계피,kg,10.0,5000,500
과일,체리알,kg,12.0,4500,375
과일,완두콩,kg,2.625,1050,400
기타식품,싱싱락교,kg,4.3333,65000,15000
기타식품,오이피클,kg,2.4167,7250,3000
과일,냉동딸기,kg,4.0,4000,1000
기타식품,크림스프,kg,8.7,8700,1000
기타식품,옥수수전분,kg,5.0,2000,400
곡물·밀가루,스파게티면,kg,2.3,1150,500
소스·잼,딸기잼,kg,0.0,0,3000
소스·잼,토마토홀,kg,2.4,6000,2500
소스·잼,케찹스파우트,kg,2.0781,6650,3200
소스·잼,키위드레싱소스,kg,6.0,12000,2000
소스·잼,딥/칠리/스위트 소스,kg,3.0508,18000,5900
향신료·양념,백후추가루,kg,22.5,9000,400
향신료·양념,흑후추가루,kg,22.5,9000,400
해산물,탈각새우31/40,kg,16.8889,15200,900
해산물,찐새우살,kg,16.6667,15000,900
해산물,해물모듬,kg,7.9167,4750,600
기본조미료,간장,kg,3.0556,5500,1800
기본조미료,꽃소금,kg,1.0,15000,15000
기본조미료,설탕,kg,1.3333,20000,15000
기본조미료,미원,kg,7.84,196000,25000
기본조미료,환만식초,kg,1.9444,3500,1800
기타식품,부라보,kg,1.1069,14500,13100
기타식품,유미락스,kg,0.4615,6000,13000
향신료·양념,CUMIN powder,kg,22.5,4500,200
육류,통염소,kg,15.0,157500,10500
