menu,ingredient,qty_per_serving_g
치킨머커니,닭가슴살 (정육),100.0
치킨머커니,커리 그레이비 소스,200.0
치킨머커니,치즈 (퍼니르),30.0
치킨머커니,체리알,5.0
치킨머커니,고수잎,5.0
치킨머커니,설탕,30.0
치킨머커니,꽃소금,5.0
치킨머커니,데어리쿠킹크림,30.0
치킨 커리,닭가슴살 (정육),70.0
치킨 커리,커리 그레이비 소스,135.0
치킨 커리,토마토홀,10.0
치킨 커리,고수(고수잎),2.0
치킨 커리,데어리쿠킹크림,20.0
치킨 커리,꽃소금,5.0
치킨 커리,식용유,10.0
치킨 마살라,닭가슴살 (정육),55.0
치킨 마살라,커리 그레이비 소스,110.0
치킨 마살라,계란,30.0
치킨 마살라,토마토,10.0
치킨 마살라,청양고추,15.0
치킨 마살라,완두콩,10.0
치킨 마살라,꽃소금,5.0
치킨 마살라,데어리쿠킹크림,15.0
치킨 티카 마살라,닭가슴살 (정육),35.0
치킨 티카 마살라,탄두리 소스,30.0
치킨 티카 마살라,커리 그레이비 소스,130.0
치킨 티카 마살라,청양고추,15.0
치킨 티카 마살라,토마토,10.0
치킨 티카 마살라,티카 마살라 파우더,5.0
치킨 티카 마살라,데어리쿠킹크림,20.0
치킨 티카 마살라,꽃소금,5.0
버터 치킨,닭 (09호),100.0
버터 치킨,커리 그레이비 소스,200.0
버터 치킨,ASEEL PURE GHEE (버터),10.0
버터 치킨,데어리쿠킹크림,30.0
버터 치킨,꽃소금,5.0
버터 치킨,설탕,3.0
버터 치킨,버터,5.0
스페셜 커리치킨,닭가슴살 (정육),60.0
스페셜 커리치킨,커리 그레이비 소스,120.0
스페셜 커리치킨,캐슈넛,5.0
스페셜 커리치킨,계란,5.0
스페셜 커리치킨,설탕,20.0
스페셜 커리치킨,꽃소금,15.0
스페셜 커리치킨,데어리쿠킹크림,20.0
스페셜 커리치킨,ASEEL PURE GHEE,5.0
베이비 커리,닭가슴살 (정육),35.0
베이비 커리,베이비커리 소스,170.0
베이비 커리,데어리쿠킹크림,25.0
베이비 커리,멸균우유,15.0
베이비 커리,꽃소금,3.0
진저 치킨,닭가슴살 (정육),70.0
진저 치킨,통생강,10.0
진저 치킨,커리 그레이비 소스,120.0
진저 치킨,옥수수전분,50.0
진저 치킨,설탕,15.0
진저 치킨,꽃소금,15.0
커다이 치킨,닭가슴살 (정육),70.0
커다이 치킨,커리 그레이비 소스,120.0
커다이 치킨,청피망,30.0
커다이 치킨,토마토,15.0
커다이 치킨,베트남 건고추,10.0
커다이 치킨,CUMIN SEED WHOLE,15.0
커다이 치킨,CORRIANDER WHOLE,10.0
커다이 치킨,베트남 고추가루,10.0
커다이 치킨,데어리쿠킹크림,10.0
커다이 치킨,꽃소금,5.0
치킨 빈달루,닭가슴살 (정육),70.0
치킨 빈달루,커리 그레이비 소스,140.0
치킨 빈달루,베트남 고추가루,15.0
치킨 빈달루,고운 고추가루,10.0
치킨 빈달루,Clove powder (정향가루),5.0
치킨 빈달루,꽃소금,15.0
치킨 코르마,닭 가슴살,75.0
치킨 코르마,커리 그레이비 소스,145.0
치킨 코르마,데어리쿠킹크림,20.0
치킨 코르마,꽃소금,5.0
치킨 코르마,ASEEL PURE GHEE,5.0
에그 커리,계란,85.0
에그 커리,커리 그레이비 소스,125.0
에그 커리,고수잎,2.0
에그 커리,토마토홀,10.0
에그 커리,데어리쿠킹크림,20.0
에그 커리,통생강,5.0
에그 커리,꽃소금,5.0
머턴 커리,양사태살,40.0
머턴 커리,커리 그레이비 소스,160.0
머턴 커리,토마토홀,10.0
머턴 커리,데어리쿠킹크림,25.0
머턴 커리,고수잎,2.0
머턴 커리,꽃소금,5.0
머턴 커리,식용유,10.0
머턴 마살라,양사태살,40.0
머턴 마살라,커리 그레이비 소스,150.0
머턴 마살라,청양고추,15.0
머턴 마살라,토마토,10.0
머턴 마살라,완두콩,10.0
머턴 마살라,데어리쿠킹크림,20.0
머턴 마살라,꽃소금,5.0
머턴 코르마,양사태살,40.0
머턴 코르마,커리 그레이비 소스,165.0
머턴 코르마,데어리쿠킹크림,25.0
머턴 코르마,캐슈넛 페이스트,10.0
머턴 코르마,ASEEL PURE GHEE,5.0
머턴 코르마,꽃소금,5.0
머턴 빈달루,양사태살,40.0
머턴 빈달루,커리 그레이비 소스,155.0
머턴 빈달루,고운 고추가루,10.0
머턴 빈달루,베트남 고추가루,15.0
머턴 빈달루,Clove powder,5.0
머턴 빈달루,꽃소금,15.0
머턴 도 피아자,양사태살,40.0
머턴 도 피아자,커리 그레이비 소스,170.0
머턴 도 피아자,양파,25.0
머턴 도 피아자,꽃소금,5.0
머턴 도 피아자,데어리쿠킹크림,10.0
머턴 아차르,양사태살,40.0
머턴 아차르,CHAAT MASALA,20.0
머턴 아차르,양파,10.0
머턴 아차르,청양고추,5.0
머턴 아차르,꽃소금,15.0
머턴 아차르,환만식초,5.0
머턴 아차르,커리 그레이비 소스,160.0
펄럭 퍼니르,펄럭(시금치) 소스,165.0
펄럭 퍼니르,퍼니르(치즈),65.0
펄럭 퍼니르,데어리쿠킹크림,10.0
펄럭 퍼니르,꽃소금,3.0
펄럭 퍼니르,ASEEL PURE GHEE,5.0
퍼니르 버터 마살라,퍼니르 (치즈),50.0
퍼니르 버터 마살라,커리 그레이비 소스,130.0
퍼니르 버터 마살라,ASEEL PURE GHEE (버터),5.0
퍼니르 버터 마살라,토마토,5.0
퍼니르 버터 마살라,설탕,20.0
퍼니르 버터 마살라,데어리쿠킹크림,20.0
퍼니르 버터 마살라,꽃소금,15.0
머라이 코프타,감자,35.0
머라이 코프타,캐슈넛,5.0
머라이 코프타,중2등급 밀가루,5.0
머라이 코프타,토마토,5.0
머라이 코프타,설탕,20.0
머라이 코프타,데어리쿠킹크림,20.0
머라이 코프타,ASEEL PURE GHEE,5.0
머라이 코프타,꽃소금,15.0
머라이 코프타,커리 그레이비 소스,135.0
알루 펄럭,감자,80.0
알루 펄럭,펄럭(시금치) 소스,160.0
알루 펄럭,데어리쿠킹크림,10.0
알루 펄럭,꽃소금,5.0
알루 고비,감자,65.0
알루 고비,냉동 콜리플라워,65.0
알루 고비,커리 그레이비 소스,100.0
알루 고비,데어리쿠킹크림,5.0
알루 고비,꽃소금,10.0
알루 고비,강황가루,2.0
달 머커니,ASEEL PURE GHEE (버터),15.0
달 머커니,달머커니 소스,210.0
달 머커니,데어리쿠킹크림,15.0
달 머커니,꽃소금,5.0
달 터드카,달머커니 소스,190.0
달 터드카,데어리쿠킹크림,15.0
달 터드카,통생강,20.0
달 터드카,통마늘,10.0
달 터드카,강황가루,2.0
달 터드카,커민씨드,3.0
달 터드카,꽃소금,10.0
머쉬룸 커리,새송이 버섯,70.0
머쉬룸 커리,커리 그레이비 소스,140.0
머쉬룸 커리,양파,15.0
머쉬룸 커리,토마토,5.0
머쉬룸 커리,데어리쿠킹크림,5.0
머쉬룸 커리,꽃소금,10.0
야채 나바라탄 코르마,냉동 믹스 야채,70.0
야채 나바라탄 코르마,데어리쿠킹크림,20.0
야채 나바라탄 코르마,커리 그레이비 소스,145.0
야채 나바라탄 코르마,캐슈넛,5.0
야채 나바라탄 코르마,꽃소금,5.0
마타 퍼니르,퍼니르 (치즈),80.0
마타 퍼니르,완두콩,50.0
